Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
32	HCC1143	test	PREDICTED	0.0396908	0.0	0.2607042	-3.240765
33	HCC1395	test	PREDICTED	0.8817491	0.6238395	1.0	1.8947778
34	HCC1419	test	PREDICTED	0.9379241	0.7121177	1.0	2.7146696
35	HCC1428	test	PREDICTED	0.9703022	0.7949364	1.0	3.7250551
36	HCC1569	test	PREDICTED	0.7464019	0.4736175	0.99904	0.9085497
37	HCC1599	test	PREDICTED	0.053393	0.0	0.291127	-2.8074621
38	HCC1806	test	PREDICTED	0.0832697	0.0	0.3417187	-2.1950823
39	HCC1937	test	PREDICTED	0.0794795	0.0	0.3366025	-2.2577198
40	HCC1954	test	PREDICTED	0.483563	0.2323742	0.7020718	0.0003996
41	HCC202	test	PREDICTED	0.9306625	0.6974335	1.0	2.5717591
42	HCC2218	test	PREDICTED	0.8355312	0.5757352	0.9999994	1.4745865
43	HCC3153	test	PREDICTED	0.1743295	0.00022	0.4589113	-1.2221304
44	HCC38	test	PREDICTED	0.1811583	0.000357	0.464472	-1.1719876
45	HCC70	test	PREDICTED	0.7266258	0.4567542	0.9973878	0.8100164
46	HS578T	test	PREDICTED	0.9702286	0.7947035	1.0	3.7214391
47	JIMT1	test	PREDICTED	0.1549615	3.87e-05	0.4370439	-1.3761704
48	LY2	test	PREDICTED	0.9431379	0.7238286	1.0	2.8291809
49	MB157	test	PREDICTED	0.0759776	0.0	0.3321936	-2.3185926
50	MCF10A	test	PREDICTED	0.0622438	0.0	0.3093746	-2.5919051
51	MCF10F	test	PREDICTED	0.1450521	1.32e-05	0.4280964	-1.4626935
52	MCF12A	test	PREDICTED	0.1314403	2.2e-06	0.4113141	-1.5917715
53	MCF7	test	PREDICTED	0.9763863	0.817782	1.0	4.0678184
54	MDAMB134VI	test	PREDICTED	0.8788672	0.6206405	1.0	1.8643369
55	MDAMB175	test	PREDICTED	0.9348479	0.7053201	1.0	2.6520009
56	MDAMB231	test	PREDICTED	0.5210586	0.2610166	0.7546555	0.1003617
57	MDAMB361	test	PREDICTED	0.7350496	0.4619652	0.9982696	0.8510189
58	MX1	test	PREDICTED	0.071962	0.0	0.3259383	-2.3923553
59	SKBR3	test	PREDICTED	0.8328348	0.5731978	0.9999991	1.453635
60	SUM1315	test	PREDICTED	0.7762693	0.5096952	0.9998445	1.0735463
61	SUM149PT	test	PREDICTED	0.0889569	0.0	0.3517304	-2.1067129
62	SUM225CWN	test	PREDICTED	0.6521156	0.3765246	0.967354	0.5003617
63	SUM229PE	test	PREDICTED	0.195684	0.0010105	0.4761017	-1.0717265
64	SUM52PE	test	PREDICTED	0.1504107	2.45e-05	0.4336263	-1.4151931
65	T47D	test	PREDICTED	0.9788388	0.8291538	1.0	4.2376009
66	T47D Kbluc	test	PREDICTED	0.9736005	0.8059946	1.0	3.8990734
67	UACC812	test	PREDICTED	0.8972388	0.6414313	1.0	2.0720286
68	UACC893	test	PREDICTED	0.2694286	0.0220539	0.5326607	-0.6718092
69	ZR751	test	PREDICTED	0.977344	0.8221082	1.0	4.1314616
70	ZR7530	test	PREDICTED	0.9644687	0.7780176	1.0	3.4675866
71	ZR75B	test	PREDICTED	0.9489785	0.7367118	1.0	2.9723544
