Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
9	PI3K-2	train1	PREDICTED	0.9586206	0.7522591	1.0	2.9676268
10	PI3K-4	train1	PREDICTED	0.9521007	0.739471	0.9999998	2.3407767
11	PI3K-5	train1	PREDICTED	0.9555296	0.7501959	0.9999994	2.4353974
12	PI3K-6	train1	PREDICTED	0.9681963	0.7643382	1.0	3.0272035
13	PI3K-7	train1	PREDICTED	0.9457931	0.6998675	1.0	2.4723208
14	PI3K-8	train1	PREDICTED	0.9817233	0.8473019	1.0	5.3092827
15	PI3K-9	train1	PREDICTED	0.9314672	0.6779076	0.9999706	1.905707
16	PI3K-10	train1	PREDICTED	0.9704884	0.7693768	1.0	3.1782356
17	184A1	test	PREDICTED	0.2153161	0.0032602	0.4974285	-0.9429721
18	184B5	test	PREDICTED	0.1787523	0.0003461	0.4616347	-1.181676
19	21MT1	test	PREDICTED	0.3201432	0.0674059	0.561372	-0.4708013
20	21MT2	test	PREDICTED	0.2882433	0.0339196	0.5430133	-0.5897652
21	21NT	test	PREDICTED	0.3543998	0.1110376	0.587218	-0.3580137
22	21PT	test	PREDICTED	0.3295754	0.0789201	0.5670475	-0.4384308
23	600MPE	test	PREDICTED	0.4373391	0.1884958	0.6457055	-0.1211778
24	AU565	test	PREDICTED	0.8625764	0.6033795	1.0	1.6992405
25	BT474	test	PREDICTED	0.8469581	0.5859054	0.9999998	1.5626495
26	BT483	test	PREDICTED	0.6055577	0.3362066	0.9195576	0.3447533
27	BT549	test	PREDICTED	0.6953435	0.4266468	0.9906525	0.6693608
28	CAMA1	test	PREDICTED	0.8685672	0.6084879	1.0	1.7555468
29	EFM192A	test	PREDICTED	0.8879696	0.630638	1.0	1.9565345
30	EFM192B	test	PREDICTED	0.8988319	0.6440997	1.0	2.0845904
31	EFM192C	test	PREDICTED	0.9111586	0.6625649	1.0	2.2479591
32	HCC1143	test	PREDICTED	0.2113995	0.0026935	0.4934935	-0.9662241
33	HCC1395	test	PREDICTED	0.804228	0.5381028	0.9999801	1.245954
34	HCC1419	test	PREDICTED	0.8330227	0.5736964	0.9999989	1.4512972
35	HCC1428	test	PREDICTED	0.8513697	0.5903365	0.9999999	1.5998604
36	HCC1569	test	PREDICTED	0.6865608	0.4164906	0.9873353	0.6329653
37	HCC1599	test	PREDICTED	0.5467326	0.2912548	0.8081528	0.1717723
38	HCC1806	test	PREDICTED	0.2133639	0.0029621	0.4955609	-0.9544973
39	HCC1937	test	PREDICTED	0.1484784	2.44e-05	0.4336709	-1.4226482
40	HCC1954	test	PREDICTED	0.2764002	0.0264844	0.5361375	-0.6384228
41	HCC202	test	PREDICTED	0.5831503	0.318926	0.8829705	0.2763538
42	HCC2218	test	PREDICTED	0.7403584	0.4658664	0.9985919	0.876792
43	HCC3153	test	PREDICTED	0.1982414	0.0013096	0.4790489	-1.0482362
44	HCC38	test	PREDICTED	0.7221364	0.4545119	0.9966171	0.7883331
45	HCC70	test	PREDICTED	0.3926011	0.1510891	0.6094668	-0.2444622
46	HS578T	test	PREDICTED	0.6185462	0.3520544	0.9328975	0.3862153
47	JIMT1	test	PREDICTED	0.4203921	0.1724629	0.6300102	-0.1670408
48	LY2	test	PREDICTED	0.8580757	0.5992864	1.0	1.6584455
49	MB157	test	PREDICTED	0.1213378	6e-07	0.3955239	-1.685444
50	MCF10A	test	PREDICTED	0.2461491	0.0119944	0.5219228	-0.7767014
51	MCF10F	test	PREDICTED	0.0851618	0.0	0.3450893	-2.1509778
52	MCF12A	test	PREDICTED	0.5091716	0.2543033	0.7375187	0.0695317
53	MCF7	test	PREDICTED	0.8754362	0.6157121	1.0	1.8232044
54	MDAMB134VI	test	PREDICTED	0.785451	0.5192008	0.999907	1.1265967
55	MDAMB175	test	PREDICTED	0.3965021	0.1542414	0.6133944	-0.2333842
56	MDAMB231	test	PREDICTED	0.5435747	0.2889663	0.8007271	0.1630008
57	MDAMB361	test	PREDICTED	0.7375567	0.4635357	0.9983852	0.8627636
58	MX1	test	PREDICTED	0.2042276	0.0018404	0.4857509	-1.0101635
59	SKBR3	test	PREDICTED	0.8518286	0.5907866	0.9999999	1.6037903
60	SUM1315	test	PREDICTED	0.8100641	0.5432515	0.9999883	1.2852228
61	SUM149PT	test	PREDICTED	0.277547	0.0271522	0.5365148	-0.6335887
62	SUM225CWN	test	PREDICTED	0.4879308	0.235142	0.7061539	0.0130685
63	SUM229PE	test	PREDICTED	0.3432757	0.0942752	0.5784101	-0.3932677
64	SUM52PE	test	PREDICTED	0.6315976	0.362651	0.9478631	0.4294368
65	T47D	test	PREDICTED	0.822519	0.5585121	0.9999966	1.3728771
66	T47D Kbluc	test	PREDICTED	0.8181314	0.5520296	0.9999947	1.3413723
67	UACC812	test	PREDICTED	0.8582524	0.5995362	1.0	1.660024
68	UACC893	test	PREDICTED	0.8227645	0.5589353	0.9999967	1.3746606
69	ZR751	test	PREDICTED	0.8547963	0.5946962	0.9999999	1.6294804
70	ZR7530	test	PREDICTED	0.6973686	0.4291617	0.991224	0.6779267
71	ZR75B	test	PREDICTED	0.9163284	0.670674	1.0	2.3235788
